都道府県	文化	自然	合計	順位
1	北海道	1	1	2	04位
2	青森県	1	1	2	04位
3	岩手県	3	0	3	01位
4	宮城県	0	0	0	28位
5	秋田県	1	1	2	04位
6	山形県	0	0	0	28位
7	福島県	0	0	0	28位
8	茨城県	0	0	0	28位
9	栃木県	1	0	1	14位
10	群馬県	1	0	1	14位
11	埼玉県	0	0	0	28位
12	千葉県	0	0	0	28位
13	東京都	1	1	2	04位
14	神奈川県	0	0	0	28位
15	新潟県	0	0	0	28位
16	富山県	1	0	1	14位
17	石川県	0	0	0	28位
18	福井県	0	0	0	28位
19	山梨県	1	0	1	14位
20	長野県	0	0	0	28位
21	岐阜県	1	0	1	14位
22	静岡県	2	0	2	04位
23	愛知県	0	0	0	28位
24	三重県	1	0	1	14位
25	滋賀県	1	0	1	14位
26	京都府	1	0	1	14位
27	大阪府	1	0	1	14位
28	兵庫県	1	0	1	14位
29	奈良県	3	0	3	01位
30	和歌山県	1	0	1	14位
31	鳥取県	0	0	0	28位
32	島根県	1	0	1	14位
33	岡山県	0	0	0	28位
34	広島県	2	0	2	04位
35	山口県	1	0	1	14位
36	徳島県	0	0	0	28位
37	香川県	0	0	0	28位
38	愛媛県	0	0	0	28位
39	高知県	0	0	0	28位
40	福岡県	2	0	2	04位
41	佐賀県	1	0	1	14位
42	長崎県	2	0	2	04位
43	熊本県	2	0	2	04位
44	大分県	0	0	0	28位
45	宮崎県	0	0	0	28位
46	鹿児島県	1	2	3	01位
47	沖縄県	1	1	2	04位
