Code	Prefecture	score_all_art
R13000	東京都	179
R14000	神奈川県	179
R26000	京都府	173
R29000	奈良県	162
R12000	千葉県	155
R11000	埼玉県	154
R28000	兵庫県	152
R27000	大阪府	148
R23000	愛知県	146
R16000	富山県	140
R20000	長野県	140
R40000	福岡県	136
R25000	滋賀県	134
R17000	石川県	129
R04000	宮城県	129
R33000	岡山県	121
R10000	群馬県	121
R19000	山梨県	117
R34000	広島県	115
R22000	静岡県	114
R24000	三重県	113
R21000	岐阜県	102
R08000	茨城県	102
R09000	栃木県	100
R01000	北海道	98
R18000	福井県	91
R37000	香川県	87
R35000	山口県	85
R06000	山形県	84
R47000	沖縄県	84
R36000	徳島県	80
R44000	大分県	78
R41000	佐賀県	76
R32000	島根県	75
R38000	愛媛県	70
R31000	鳥取県	69
R30000	和歌山県	67
R03000	岩手県	65
R43000	熊本県	64
R15000	新潟県	62
R42000	長崎県	62
R07000	福島県	61
R46000	鹿児島県	60
R05000	秋田県	51
R45000	宮崎県	50
R02000	青森県	28
R39000	高知県	28
