Code	Prefecture	MG15	score_all_art
R01000	北海道	52	98
R02000	青森県	47	28
R03000	岩手県	45	65
R04000	宮城県	45	129
R05000	秋田県	46	51
R06000	山形県	41	84
R07000	福島県	39	61
R08000	茨城県	44	102
R09000	栃木県	48	100
R10000	群馬県	42	121
R11000	埼玉県	45	154
R12000	千葉県	50	155
R13000	東京都	52	179
R14000	神奈川県	48	179
R15000	新潟県	43	62
R16000	富山県	45	140
R17000	石川県	49	129
R18000	福井県	45	91
R19000	山梨県	47	117
R20000	長野県	42	140
R21000	岐阜県	43	102
R22000	静岡県	49	114
R23000	愛知県	51	146
R24000	三重県	47	113
R25000	滋賀県	48	134
R26000	京都府	51	173
R27000	大阪府	49	148
R28000	兵庫県	46	152
R29000	奈良県	46	162
R30000	和歌山県	48	67
R31000	鳥取県	40	69
R32000	島根県	41	75
R33000	岡山県	44	121
R34000	広島県	43	115
R35000	山口県	45	85
R36000	徳島県	44	80
R37000	香川県	42	87
R38000	愛媛県	51	70
R39000	高知県	43	28
R40000	福岡県	42	136
R41000	佐賀県	37	76
R42000	長崎県	44	62
R43000	熊本県	36	64
R44000	大分県	41	78
R45000	宮崎県	41	50
R46000	鹿児島県	37	60
R47000	沖縄県	35	84
