Code	Prefecture	female	male
R01000	北海道	78	129
R02000	青森県	21	60
R03000	岩手県	66	71
R04000	宮城県	133	131
R05000	秋田県	43	68
R06000	山形県	81	95
R07000	福島県	55	77
R08000	茨城県	102	115
R09000	栃木県	105	104
R10000	群馬県	123	112
R11000	埼玉県	143	172
R12000	千葉県	150	163
R13000	東京都	182	162
R14000	神奈川県	182	167
R15000	新潟県	68	84
R16000	富山県	128	140
R17000	石川県	125	130
R18000	福井県	100	77
R19000	山梨県	121	110
R20000	長野県	128	140
R21000	岐阜県	104	107
R22000	静岡県	113	113
R23000	愛知県	155	142
R24000	三重県	109	111
R25000	滋賀県	128	136
R26000	京都府	169	169
R27000	大阪府	137	160
R28000	兵庫県	148	150
R29000	奈良県	165	133
R30000	和歌山県	75	57
R31000	鳥取県	77	76
R32000	島根県	71	81
R33000	岡山県	103	141
R34000	広島県	122	103
R35000	山口県	99	74
R36000	徳島県	73	99
R37000	香川県	100	61
R38000	愛媛県	69	87
R39000	高知県	36	31
R40000	福岡県	136	108
R41000	佐賀県	77	76
R42000	長崎県	68	62
R43000	熊本県	66	70
R44000	大分県	78	75
R45000	宮崎県	52	59
R46000	鹿児島県	62	66
R47000	沖縄県	84	96
